Presence,NND,DistDirt,DistPaved,DistPen,DistDump,DistVil,DistTown,Slope,Elevation,Water,Urban,Agri ,Forest ,Open,Class,IRR,CliffHeight,MeanSlope,Aspect,DistRoad
1,3577.55,230.35,931.81,2041.15,20158.03,3508.66,2414.93,28.01,724,0.00,9.58,2.24,2.24,85.94,5.00,8.03,126.00,12.97,275.84,230.35
1,583.67,81.73,2449.01,1362.64,15820.84,4272.28,2613.54,38.17,799,0.00,0.00,0.00,0.00,100.00,1.00,8.85,123.00,11.45,120.23,81.73
1,1719.30,183.59,879.78,986.14,17318.85,4254.55,995.16,38.86,848,0.00,12.66,0.00,0.00,87.34,2.00,10.62,113.00,11.97,100.73,183.59
1,419.11,444.23,1348.58,1382.27,14263.21,4528.14,8078.15,41.37,602,0.00,0.00,34.62,0.00,65.38,2.00,2.03,101.00,3.37,124.59,444.23
1,765.96,370.20,405.79,2250.16,13281.12,3571.97,8117.71,22.09,586,0.00,0.00,45.37,0.00,54.63,3.00,6.18,63.00,5.05,107.32,370.20
1,251.17,264.04,167.92,99.52,7329.80,880.52,8708.02,20.39,566,0.00,0.00,48.08,0.00,51.92,4.00,6.22,4.00,7.78,300.30,167.92
1,251.17,233.61,108.58,311.34,7568.41,1094.37,8934.68,18.70,576,0.00,0.00,49.84,0.00,50.16,4.00,5.44,9.00,7.22,232.00,108.58
1,1132.29,545.32,451.45,925.29,5775.03,2125.25,6581.27,20.89,613,0.00,0.00,20.25,0.00,79.75,3.00,4.62,9.00,8.88,126.12,451.45
1,1216.99,130.06,1051.95,1406.72,3087.09,2994.10,3733.62,6.38,871,0.00,0.00,0.00,20.89,79.11,2.00,5.56,3.00,11.06,153.43,130.06
1,2083.45,217.80,943.67,1384.72,11165.57,3436.86,6744.92,32.38,609,0.00,0.00,26.52,0.00,73.48,2.00,8.44,40.00,12.96,266.99,217.80
1,1589.91,81.83,309.92,2849.54,4489.51,2036.32,5314.55,26.22,877,0.00,0.00,32.91,50.80,16.29,3.00,6.13,50.00,11.51,66.04,81.83
1,419.11,509.61,1765.32,997.60,14649.12,4944.03,8168.20,29.61,599,0.00,0.00,31.31,0.00,68.69,2.00,10.06,69.00,10.59,244.37,502.32
1,882.30,954.95,2619.46,968.58,15500.41,6099.25,8111.30,29.83,588,0.00,0.00,0.65,0.00,99.35,2.00,5.34,41.00,9.52,157.35,572.76
1,1109.32,73.86,132.79,999.77,15121.90,1755.61,12677.23,21.73,781,0.00,0.00,31.43,38.73,29.84,3.00,8.45,25.00,12.88,158.53,73.86
1,1109.32,183.86,168.90,109.60,16173.06,815.52,12199.70,27.64,745,0.00,0.00,34.18,25.00,40.82,5.00,9.89,15.00,14.71,117.99,168.90
1,411.43,458.55,613.33,1792.50,9743.09,4189.96,8480.34,35.53,709,0.00,0.00,35.90,0.00,64.10,3.00,3.16,69.00,5.00,143.06,458.55
1,3209.19,462.09,411.72,3693.58,20141.83,3113.65,12618.72,26.98,685,0.00,0.00,24.68,49.04,26.28,3.00,9.54,169.00,17.41,201.10,411.72
1,3209.19,266.33,659.00,1572.26,21818.17,579.83,10421.04,25.25,689,0.00,12.74,13.06,0.32,73.88,5.00,10.11,134.00,17.22,137.15,266.33
1,1411.28,298.48,678.89,1200.68,5428.82,2357.76,5880.54,27.32,626,0.00,0.00,35.46,0.00,64.54,4.00,8.97,90.00,11.86,289.31,298.48
1,2318.56,731.56,1149.46,847.74,7727.25,4165.73,6673.31,31.96,662,0.00,0.00,15.65,0.00,84.35,3.00,7.83,44.00,10.80,84.25,731.56
1,3340.40,138.02,864.76,224.96,867.86,4533.18,2561.33,17.36,755,0.00,5.77,3.20,19.23,71.80,4.00,6.99,4.00,12.54,42.84,138.02
1,2144.16,286.07,235.79,795.19,2766.23,3050.39,2279.70,36.52,757,0.00,0.00,23.64,4.47,71.89,5.00,11.43,97.00,14.91,70.95,235.79
1,1132.29,478.59,771.95,1369.67,6499.15,1663.24,7480.92,22.68,595,0.00,0.00,7.77,92.23,0.00,2.00,6.49,51.00,11.37,156.50,478.59
1,1649.98,160.75,276.10,2866.46,5686.87,1822.99,5715.91,37.84,871,0.00,0.00,26.20,37.06,36.74,5.00,7.72,60.00,17.59,67.29,160.75
1,765.96,886.89,253.47,2204.40,12611.60,3318.56,8708.48,18.05,557,0.00,0.00,21.59,0.00,78.41,3.00,6.32,23.00,9.85,237.53,253.47
1,1073.79,164.17,252.14,3706.27,25886.08,2315.15,5606.24,35.01,628,19.75,0.00,22.61,0.00,57.64,4.00,8.57,121.00,9.07,357.95,164.17
1,1296.06,1724.23,1300.88,518.32,14109.75,5165.92,8688.78,14.91,564,0.00,0.00,8.23,0.00,91.77,2.00,6.01,5.00,10.94,140.08,329.22
1,411.43,610.65,684.86,1974.97,9580.53,3803.33,8271.23,26.79,711,0.00,0.00,40.58,0.00,59.42,2.00,8.63,74.00,9.79,236.44,610.65
1,2239.80,182.17,267.27,1115.75,3784.63,1945.91,2237.15,11.99,764,0.00,12.54,10.29,0.00,77.17,5.00,6.90,15.00,11.81,318.18,182.17
1,643.54,235.04,3307.13,702.59,16337.90,6394.99,7885.44,21.58,648,17.36,0.00,20.58,0.00,62.06,4.00,9.80,123.00,9.06,159.66,235.04
1,583.67,84.24,2733.26,1436.82,15245.02,4032.22,3008.67,23.58,791,0.00,0.00,0.00,0.00,100.00,1.00,10.77,135.00,14.98,100.45,84.24
1,2129.28,71.03,3959.02,1149.60,16503.99,5882.07,4064.81,6.76,639,0.00,0.00,0.00,0.00,100.00,1.00,8.17,18.00,10.59,161.57,71.03
1,2083.45,345.57,1136.62,1183.64,12426.08,2671.52,5495.20,19.94,600,0.00,0.00,55.38,0.00,44.62,2.00,6.42,32.00,8.29,88.03,345.57
1,643.54,821.86,3375.46,803.79,16254.70,6565.14,8132.74,17.04,614,0.00,0.00,6.71,0.00,93.29,3.00,9.23,12.00,13.48,112.38,821.86
1,1073.79,261.54,449.04,2641.97,24835.38,1352.35,4587.79,17.99,602,0.00,0.32,26.92,0.00,72.76,5.00,8.99,78.00,10.40,56.51,261.54
1,3577.55,132.70,326.70,1294.00,16984.10,6996.06,4148.20,34.58,645,0.00,4.15,13.74,0.00,82.11,4.00,7.73,55.00,10.02,262.36,132.70
1,1216.99,230.87,982.85,1461.15,4071.30,3313.04,4315.44,19.97,903,0.00,0.00,2.87,32.27,64.86,4.00,7.75,16.00,16.59,143.39,230.87
1,2157.57,257.05,326.11,927.10,7717.06,1922.73,6281.48,28.19,642,0.00,0.00,37.78,0.00,62.22,3.00,7.26,72.00,9.26,78.34,257.05
1,3066.46,172.59,1411.18,2898.86,23325.43,2096.76,5519.09,27.99,605,0.00,0.00,12.22,0.00,87.78,6.00,7.85,84.00,10.89,41.19,172.59
0,2559.02,553.16,1116.25,875.07,12826.70,1530.99,12243.08,13.95,990,0.00,0.00,17.52,30.89,51.59,5.00,2.00,191.00,4.854868,247.31,553.16
0,2413.29,805.16,1876.58,737.80,6417.26,3154.51,5856.38,15.68,665,0.00,0.00,35.37,0.00,64.63,4.00,7.22,58.00,10.49811,185.96,805.16
0,118.92,266.58,720.54,1597.31,21909.62,646.95,10376.92,30.29,700,0.00,12.66,9.49,0.32,77.53,5.00,10.48,158.00,18.363258,165.96,266.58
0,1556.76,797.75,1877.46,878.12,18714.07,5715.76,1817.75,30.51,848,0.00,0.00,0.00,0.00,100.00,1.00,7.35,101.00,14.398306,233.05,796.87
0,2336.77,405.85,270.14,5183.01,8023.15,1492.06,7988.62,31.01,964,0.00,0.00,0.00,41.46,58.54,5.00,6.54,121.00,16.835661,43.88,270.14
0,636.94,97.75,366.58,1288.80,2263.55,3259.51,1645.74,38.16,822,0.00,0.63,36.83,0.00,62.54,5.00,6.61,134.00,9.498005,73.68,97.75
0,181.65,201.58,3134.22,521.18,16157.16,6233.41,7897.68,29.91,625,13.50,0.00,26.05,0.00,60.45,3.00,10.14,101.00,11.37988,97.07,201.58
0,1529.18,296.04,2208.70,1433.76,18096.03,5764.41,2224.26,37.36,796,0.00,0.00,0.00,0.00,100.00,2.00,9.11,141.00,11.000955,257.71,295.93
0,5239.85,456.37,962.25,1873.56,9033.43,2407.38,10284.46,18.33,1053,0.00,0.00,71.47,4.81,23.72,3.00,6.88,24.00,8.244167,276.50,456.36
0,1497.27,470.72,574.01,4357.16,7124.73,1387.20,7213.06,14.07,1025,0.00,0.00,4.78,59.23,35.99,5.00,6.88,180.00,16.86286,93.81,470.72
0,456.71,236.77,578.59,2003.34,9200.85,3361.62,7862.62,29.65,669,0.00,0.00,47.59,0.00,52.41,2.00,9.07,77.00,10.747268,261.16,236.77
0,2708.74,658.85,691.08,843.14,12492.70,1220.78,12770.75,21.84,985,0.00,0.00,34.29,30.16,35.55,4.00,6.87,138.00,8.09383,62.10,658.85
0,617.47,1872.08,1867.32,126.96,14559.52,5781.42,8071.56,8.46,554,0.00,0.00,2.52,0.00,97.48,3.00,5.96,42.00,10.906737,11.31,65.30
0,2183.09,147.95,1171.63,808.85,13299.21,1588.16,12010.22,9.76,845,0.00,0.00,16.09,29.34,54.57,5.00,10.17,14.00,18.605274,276.95,147.95
0,2251.36,173.21,311.70,1099.15,6033.12,474.47,4467.27,3.95,809,0.00,0.00,88.82,0.00,11.18,4.00,4.24,4.00,8.058857,244.98,171.75
0,288.06,446.63,1216.93,1243.38,10934.50,3538.00,7007.09,35.89,751,0.00,0.00,13.50,0.00,86.50,2.00,8.22,167.00,14.180744,298.93,446.63
0,2566.47,522.82,947.72,1691.09,22959.66,2314.58,2081.93,23.78,589,12.82,1.28,0.00,0.00,85.90,2.00,10.66,198.00,14.610068,195.35,522.82
0,770.02,254.85,945.78,1438.30,22040.53,925.14,9788.74,21.07,572,0.00,10.44,19.94,0.00,69.62,4.00,9.36,30.00,14.87941,51.15,254.85
0,2823.65,573.48,1794.07,1456.15,12996.17,2186.25,11573.87,32.38,927,0.00,0.00,6.96,51.58,41.46,4.00,8.09,23.00,15.504475,352.83,573.48
0,2837.09,101.17,155.77,5546.24,8455.57,1537.28,8245.87,25.45,918,0.00,0.00,6.65,35.76,57.59,6.00,8.05,46.00,17.980465,127.17,101.17
0,3511.66,214.68,467.50,1688.95,11610.48,1573.53,13078.68,32.10,966,0.00,0.00,38.86,30.57,30.57,5.00,9.47,37.00,11.824905,71.81,214.68
0,479.64,63.31,800.76,1243.85,16695.67,6679.14,4488.66,28.49,677,0.00,0.00,14.42,0.00,85.58,2.00,7.35,66.00,11.029161,280.62,63.31
0,274.99,66.21,2252.85,1464.59,16095.59,4357.11,2410.25,35.28,792,0.00,0.00,0.00,0.00,100.00,1.00,10.76,136.00,13.788994,105.02,66.21
0,969.76,616.78,343.11,1066.27,7323.43,3212.15,6112.84,17.10,638,0.00,0.00,39.42,0.00,60.58,3.00,5.66,12.00,9.549968,278.57,343.11
0,2144.45,791.06,1951.45,712.19,6633.72,3330.21,6014.41,15.22,687,0.00,0.00,26.37,0.00,73.63,4.00,8.44,63.00,12.547681,220.03,791.06
0,3462.26,240.93,218.82,1020.72,11858.60,1410.23,13245.28,31.02,906,0.00,0.00,14.47,31.51,54.02,4.00,7.87,33.00,13.758904,159.30,218.82
0,680.57,341.19,1523.08,503.48,13099.07,3257.59,4816.32,24.19,607,0.00,0.00,45.19,0.00,54.81,2.00,6.88,24.00,8.997019,96.93,343.85
0,3266.93,874.88,1613.77,1382.97,12579.03,3180.73,7124.68,14.27,884,0.00,0.00,30.06,1.27,68.67,3.00,6.20,48.00,12.981523,211.61,804.28
0,1036.71,487.43,578.71,468.62,18220.26,4526.82,528.83,26.51,811,0.00,24.84,1.59,0.00,73.57,3.00,9.24,37.00,10.967538,300.64,341.23
0,1128.45,609.15,145.30,1655.85,2475.00,2943.89,1344.58,37.61,762,0.00,4.49,23.40,0.00,72.11,5.00,9.71,87.00,15.145181,231.15,145.30
0,646.16,542.37,409.86,1136.59,7575.59,2510.12,6233.51,27.48,642,0.00,0.00,48.88,0.00,51.12,2.00,6.80,34.00,8.758051,205.13,409.86
0,1724.28,278.52,495.05,267.90,6863.86,708.69,7006.84,22.99,567,0.00,0.00,40.38,0.00,59.62,3.00,6.58,67.00,9.006758,162.28,278.52
0,1750.32,136.50,314.27,937.04,8053.23,603.10,6430.61,23.03,642,0.00,0.00,25.32,0.00,74.68,4.00,4.59,20.00,7.749882,298.07,136.50
0,951.47,421.65,66.74,698.30,3551.37,3072.60,3231.00,26.16,772,0.00,0.00,10.48,35.24,54.28,3.00,9.31,14.00,15.115161,214.63,66.74
0,1272.52,40.93,2409.14,1121.76,13330.86,2967.33,4967.19,8.77,617,0.00,0.00,0.00,0.00,100.00,1.00,6.32,30.00,10.119525,358.45,40.93